,variable,CI,lower,upper,category
16,% Hispanic,0.1263827082645,0.0926768257727413,0.160088590756258,Formerly Used Defense Sites
17,% Black,0.0670221672644965,0.0343903195062424,0.0996540150227506,Formerly Used Defense Sites
18,% Asian & Pacific Islanders,-0.0240738684409155,-0.0592020304026382,0.0110542935208072,Formerly Used Defense Sites
19,% Native Americans,-0.0663736615838317,-0.0990070190973484,-0.0337403040703149,Formerly Used Defense Sites
20,% Other people of color,-0.0018619637385518,-0.036520431695482,0.0327965042183783,Formerly Used Defense Sites
21,% without a car,-0.0126080144236775,-0.0467206345975476,0.0215046057501926,Formerly Used Defense Sites
11,% poverty,-0.0585649179683933,-0.240240921999173,0.123111086062386,Oil & Gas Wells
12,% renters,0.0901719794377873,-0.104560326724996,0.28490428560057,Oil & Gas Wells
14,% linguistic isolation,0.207274896523883,0.0719762254602163,0.34257356758755,Oil & Gas Wells
15,% non-voters,-0.06584257242886,-0.236699264574834,0.105014119717114,Oil & Gas Wells
16,% Hispanic,0.0776504079032501,-0.0843161928395842,0.239617008646084,Oil & Gas Wells
17,% Black,0.102980816918694,-0.0268164234214383,0.232778057258826,Oil & Gas Wells
18,% Asian & Pacific Islanders,0.215717306105489,0.101183860515795,0.330250751695183,Oil & Gas Wells
19,% Native Americans,-0.364836586294888,-0.485389140824309,-0.244284031765466,Oil & Gas Wells
20,% Other people of color,-0.0009688187840512,-0.139205787810854,0.137268150242752,Oil & Gas Wells
21,% without a car,0.169599725541249,0.0238198987479643,0.315379552334534,Oil & Gas Wells
